CTYNAME,pop2021,GrowthRate,popDensity
Elbert,19392,-3.5224,74.9826
Brantley,19357,4.7513,74.8473
Lamar,19309,5.7158,74.6617
Appling,18106,-1.2436,70.0101
Rabun,17697,8.724,68.4286
Cook,17468,1.6468,67.5431
Ben,16456,-6.7385,63.6301
Dade,15894,-4.4257,61.457
Telfair,15632,-5.3638,60.4439
Oglethorpe,15617,4.8191,60.3859
Brooks,15413,-5.1274,59.5971
Jeff,15249,0.9132,58.963
Jefferson,15238,-9.6686,58.9205
Jasper,14599,5.112,56.4496
McIntosh,14490,1.2508,56.0282
Charlton,14338,11.5537,55.4404
Screven,13978,-3.6066,54.0484
Bleckley,12977,-0.4526,50.1779
Dooly,12752,-14.1511,49.3079
Crawford,12544,-0.3416,48.5036
Macon,12521,-14.5032,48.4147
Towns,12379,17.5036,47.8656
Heard,12027,1.5708,46.5045
Chattahoochee,11521,3.0317,44.548
Pulaski,11251,-5.9988,43.504
Bacon,11228,1.5006,43.4151
Candler,10755,-2.449,41.5861
Lanier,10559,4.5032,40.8283
Evans,10558,-4.2011,40.8244
Early,9998,-8.9684,38.6591
Wilkes,9603,-7.5568,37.1317
Johnson,9517,-4.6966,36.7992
Irwin,9456,-1.2634,36.5633
Montgomery,9180,0.3937,35.4961
Wilkinson,8776,-7.9022,33.934
Hancock,8635,-8.4597,33.3888
Jenkins,8498,2.1394,32.859
Terrell,8419,-11.6208,32.5536
Marion,8331,-4.6905,32.2133
Wilcox,8251,-11.4129,31.904
Turner,8139,-8.6532,31.4709
Taylor,8020,-8.6248,31.0108
Twiggs,8012,-10.7099,30.9798
Atkinson,7971,-4.6987,30.8213
Lincoln,7913,-0.7152,30.597
Wheeler,7769,0,30.0402
Seminole,7730,-11.4243,29.8894
Treutlen,7077,2.6545,27.3645
Stewart,6993,14.6018,27.0397
Randolph,6710,-12.4935,25.9454
Clinch,6648,-1.715,25.7057
Talbot,6005,-12.718,23.2194
Calhoun,5861,-12.4832,22.6626
Miller,5786,-5.6579,22.3726
Schley,5311,5.7968,20.5359
Warren,5268,-8.8897,20.3697
Echols,4018,0.0747,15.5363
Glascock,2959,-3.8974,11.4415
Baker,2942,-14.2524,11.3758
Clay,2734,-13.944,10.5715
Webster,2609,-6.1848,10.0882
Quitman,2377,-5.3742,9.1911
Taliaferro,1387,-18.5555,5.3631
